algo,transform,sample_size,eer_threshold
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.625
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.609375
